run name,run,AP_coat_best_value,AP_coat_best_epoch,Precision_coat_best_value,Precision_coat_best_epoch,Recall_coat_best_value,Recall_coat_best_epoch,AP_no-coat_best_value,AP_no-coat_best_epoch,Precision_no-coat_best_value,Precision_no-coat_best_epoch,Recall_no-coat_best_value,Recall_no-coat_best_epoch,AP_eyewear_best_value,AP_eyewear_best_epoch,Precision_eyewear_best_value,Precision_eyewear_best_epoch,Recall_eyewear_best_value,Recall_eyewear_best_epoch,AP_no-eyewear_best_value,AP_no-eyewear_best_epoch,Precision_no-eyewear_best_value,Precision_no-eyewear_best_epoch,Recall_no-eyewear_best_value,Recall_no-eyewear_best_epoch,AP_gloves_best_value,AP_gloves_best_epoch,Precision_gloves_best_value,Precision_gloves_best_epoch,Recall_gloves_best_value,Recall_gloves_best_epoch,AP_no-gloves_best_value,AP_no-gloves_best_epoch,Precision_no-gloves_best_value,Precision_no-gloves_best_epoch,Recall_no-gloves_best_value,Recall_no-gloves_best_epoch,Precision_Overall_best_value,Precision_Overall_best_epoch,Recall_Overall_best_value,Recall_Overall_best_epoch,Total_Loss_Train_best_value,Total_Loss_Train_best_epoch,Total_Loss_Val_best_value,Total_Loss_Val_best_epoch,BCE_Loss_Train_best_value,BCE_Loss_Train_best_epoch,IoU_Loss_Train_best_value,IoU_Loss_Train_best_epoch,Objectness_Loss_Train_best_value,Objectness_Loss_Train_best_epoch,mAP_>50_best_value,mAP_>50_best_epoch,BCE_Loss_Val_best_value,BCE_Loss_Val_best_epoch,IoU_Loss_Val_best_value,IoU_Loss_Val_best_epoch,Objectness_Loss_Val_best_value,Objectness_Loss_Val_best_epoch
yolox_s_uaTrue_transformsTrue_dn(data_748.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_17,199,0.9404469132423401,40,0.8848167657852173,189,0.9752475023269653,40,0.6123235821723938,50,1.0,1,0.6216216087341309,50,0.20755347609519958,39,1.0,10,0.29411765933036804,38,0.1875,87,0.5,89,0.25,23,0.6826050281524658,73,0.875,6,0.807692289352417,71,0.5795454382896423,62,0.6666666865348816,5,0.875,44,0.6056475639343262,169,0.5548105239868164,51,0.016157926991581917,199,0.07229585945606232,185,0.00020303792553022504,198,0.4523027539253235,199,0.008907881565392017,198,0.4392819106578827,46,0.16088131070137024,21,1.6087802648544312,197,0.022233229130506516,41
yolox_s_uaTrue_transformsTrue_dn(data_723_s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_16,199,0.9207507371902466,34,0.9397590160369873,197,0.9603960514068604,37,0.7129969596862793,34,1.0,65,0.7297297120094299,34,0.26232653856277466,56,1.0,9,0.3529411852359772,56,0.1666666716337204,45,1.0,56,0.25,26,0.6503698825836182,159,1.0,2,0.8461538553237915,82,0.5227501392364502,105,1.0,3,0.875,84,0.6598421931266785,194,0.5460261106491089,195,0.01748121716082096,199,0.07791251689195633,186,0.0005509258480742574,199,0.5758923888206482,199,0.011948768049478531,199,0.43543562293052673,195,0.14013266563415527,175,1.6676310300827026,198,0.023331403732299805,68
yolox_m_uaFalse_transformsTrue_nc6_ep300_bs8_lr1e-04_wd5e-04_07-29_13,299,0.9591260552406311,46,0.914893627166748,299,0.9752475023269653,46,0.7448508739471436,13,1.0,0,0.7837837934494019,13,0.465864896774292,235,1.0,5,0.529411792755127,235,0.375,67,1.0,3,0.375,4,0.6362627744674683,34,1.0,0,0.807692289352417,37,0.7916666269302368,210,1.0,2,1.0,52,0.7717998623847961,285,0.6589199304580688,52,0.012215711176395416,299,0.07055430114269257,157,0.00027579773450270295,298,0.40858978033065796,299,0.010521722957491875,299,0.524336576461792,164,0.11021671444177628,26,1.623691439628601,102,0.020657788962125778,71
yolox_m_uaFalse_transformsFalse_nc6_ep300_bs8_lr1e-04_wd5e-04_07-29_18,299,0.9437133073806763,6,0.9866666793823242,210,0.9851484894752502,1,0.6508687734603882,27,1.0,33,0.6756756901741028,27,0.3529411852359772,78,1.0,3,0.38235294818878174,72,0.5,35,1.0,9,0.5,22,0.631075382232666,72,1.0,135,0.8461538553237915,58,0.7336310148239136,21,0.800000011920929,63,1.0,23,0.9008966088294983,223,0.6758630275726318,27,0.005105532240122557,284,0.0761728584766388,39,5.202798274694942e-05,269,0.17305800318717957,284,0.0029167274478822947,299,0.555672824382782,27,0.10063330084085464,119,1.5669771432876587,24,0.021513167768716812,9
yolox_s_uaFalse_transformsFalse_nc6_ep300_bs8_lr1e-04_wd5e-04_07-29_16,299,0.9030122756958008,34,0.9624999761581421,282,0.9455445408821106,15,0.5651105642318726,15,1.0,1,0.5675675868988037,15,0.3607843220233917,77,1.0,49,0.38235294818878174,23,0.375,68,1.0,22,0.375,24,0.6310269236564636,95,1.0,1,0.807692289352417,93,0.6642857193946838,18,1.0,228,0.75,16,0.9127034544944763,281,0.6042664647102356,38,0.005761182401329279,295,0.08150407671928406,35,5.7732420827960595e-05,238,0.19870240986347198,295,0.0032767944503575563,284,0.4890369772911072,68,0.16389364004135132,38,1.6486821174621582,68,0.022983402013778687,27
yolox_m_uaTrue_transformsTrue_dn(data_393_s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_19,199,0.8952547907829285,3,0.8969696760177612,191,0.9306930899620056,52,0.6005714535713196,9,1.0,3,0.6756756901741028,52,0.32271242141723633,20,1.0,25,0.38235294818878174,20,0.375,29,1.0,19,0.5,44,0.625930666923523,179,0.6000000238418579,2,0.807692289352417,44,0.660714328289032,157,0.75,156,0.875,59,0.6770737171173096,193,0.5889308452606201,44,0.019461385905742645,197,0.08833801746368408,77,0.0009386993478983641,196,0.7573148012161255,199,0.016437888145446777,199,0.4387807548046112,146,0.1400976926088333,45,1.7718838453292847,198,0.026171790435910225,45
yolox_s_uaTrue_transformsTrue_dn()_nc6_ep300_bs8_lr1e-04_wd5e-04_07-30_00,299,0.9461721181869507,41,0.8743718862533569,297,0.9801980257034302,41,0.642535388469696,43,1.0,11,0.6756756901741028,29,0.40314021706581116,21,1.0,112,0.47058823704719543,21,0.375,101,1.0,102,0.5,116,0.6243903636932373,219,1.0,0,0.8846153616905212,101,0.6839743852615356,214,1.0,10,1.0,111,0.6998323202133179,159,0.6465813517570496,111,0.017313342541456223,299,0.07423797249794006,148,0.0010569342412054539,296,0.5529497265815735,299,0.011608296073973179,297,0.5391998291015625,111,0.10850663483142853,45,1.6172717809677124,298,0.02159152366220951,148
yolox_s_uaFalse_transformsTrue_nc6_ep300_bs8_lr1e-04_wd5e-04_07-29_10,299,0.9395303726196289,283,0.9358288645744324,293,0.9851484894752502,22,0.6704781651496887,49,1.0,0,0.7027027010917664,280,0.4461821913719177,141,1.0,6,0.529411792755127,141,0.375,37,1.0,17,0.5,272,0.6226825714111328,249,1.0,0,0.807692289352417,49,0.8115079402923584,200,0.8571428656578064,198,0.875,52,0.7236184477806091,288,0.6408805847167969,106,0.012939472682774067,299,0.07000621408224106,294,0.0006845654570497572,297,0.4281856417655945,299,0.011573047377169132,299,0.5250715613365173,287,0.11339687556028366,17,1.5809847116470337,296,0.021421194076538086,196
yolox_s_uaTrue_transformsTrue_dn(data_553.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_14,199,0.9286391735076904,96,0.8958333134651184,194,0.9554455280303955,22,0.6486486792564392,121,1.0,10,0.7027027010917664,128,0.17716747522354126,51,1.0,9,0.3235294222831726,51,0.1875,42,0.5,98,0.375,42,0.6106489896774292,169,1.0,2,0.8461538553237915,76,0.5568181872367859,77,0.6666666865348816,15,0.875,76,0.6072477698326111,9,0.5725057721138,76,0.016618136316537857,199,0.07931550592184067,114,0.00023758616589475423,194,0.43770334124565125,199,0.009617815725505352,199,0.42149442434310913,94,0.1805228590965271,24,1.7090625762939453,196,0.02344062179327011,117
yolox_m_uaTrue_transformsTrue_dn()_nc6_ep300_bs8_lr1e-04_wd5e-04_07-30_02,299,0.947242259979248,119,0.9425287246704102,286,0.9752475023269653,78,0.7097394466400146,7,1.0,37,0.7297297120094299,7,0.4695988595485687,197,1.0,1,0.5882353186607361,128,0.5,281,1.0,7,0.5,54,0.6079630851745605,85,0.75,12,0.8461538553237915,185,0.786057710647583,249,0.800000011920929,58,1.0,196,0.7999135255813599,297,0.6822585463523865,128,0.01616757921874523,298,0.07120911031961441,290,0.0005443542031571269,299,0.5156412720680237,299,0.01137248519808054,298,0.5583255887031555,78,0.10951013118028641,53,1.5798152685165405,288,0.021505409851670265,25
yolox_m_uaTrue_transformsTrue_dn(data_748.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-31_00,199,0.936418354511261,97,0.9057591557502747,197,0.9752475023269653,132,0.6805835962295532,12,1.0,0,0.7297297120094299,12,0.2649509906768799,132,1.0,8,0.38235294818878174,132,0.25,170,0.6666666865348816,55,0.5,84,0.6002548933029175,96,0.8461538553237915,2,0.8461538553237915,112,0.661057710647583,67,0.625,116,1.0,24,0.5784538984298706,8,0.6065075397491455,132,0.015350289642810822,197,0.07332362979650497,93,0.00019447792146820575,198,0.4344274401664734,197,0.007810549344867468,198,0.44722455739974976,145,0.1572522670030594,16,1.612030029296875,196,0.022340770810842514,69
yolox_m_uaTrue_nc6_ep200_bs8_lr1e-04_wd5e-04_07-21_10,199,0.9541922211647034,6,0.9748427867889404,124,0.9851484894752502,6,0.6139363050460815,3,1.0,21,0.7027027010917664,3,0.20588237047195435,15,1.0,10,0.2647058963775635,15,0.4749999940395355,55,1.0,10,0.5,18,0.5880136489868164,60,1.0,2,0.7692307829856873,60,0.730042040348053,23,1.0,127,1.0,21,0.9063146710395813,148,0.5597221255302429,18,0.010540375486016273,196,0.07536401599645615,81,0.00018522737082093954,180,0.33938682079315186,198,0.0053166779689490795,181,0.4816786050796509,23,0.14096099138259888,165,1.5996370315551758,22,0.020711643621325493,17
yolox_m_uaTrue_transformsTrue_dn(data_723_s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_22,199,0.9256550073623657,7,0.9408283829689026,199,0.9554455280303955,2,0.6411411762237549,23,1.0,0,0.7027027010917664,97,0.25778549909591675,14,1.0,2,0.4117647111415863,30,0.4375,43,1.0,9,0.5,10,0.5874537229537964,107,1.0,0,0.8846153616905212,107,0.7337301969528198,66,0.75,1,1.0,17,0.7620940804481506,9,0.660180389881134,110,0.016721470281481743,199,0.07539528608322144,188,0.0007530595757998526,196,0.5553770661354065,199,0.01151020172983408,197,0.4929368197917938,48,0.1305779665708542,134,1.6162583827972412,187,0.021992277354002,117
yolox_m_uaTrue_transformsTrue_dn(data_556_s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_21,199,0.9043501615524292,5,0.9523809552192688,197,0.9504950642585754,29,0.6336413621902466,23,1.0,0,0.7027027010917664,20,0.21568627655506134,65,1.0,8,0.29411765933036804,9,0.34375,52,1.0,12,0.5,196,0.5848855972290039,75,0.8666666746139526,74,0.7692307829856873,127,0.5142857432365417,132,1.0,103,0.875,46,0.7216103076934814,103,0.5287624001502991,46,0.01824076846241951,196,0.07917200773954391,40,0.0008440900128334761,198,0.6435133218765259,199,0.012461251579225063,198,0.43714770674705505,97,0.14856263995170593,43,1.7002288103103638,187,0.023287834599614143,97
yolox_m_dndata_389.txt_bs8_lr1e-04_07-23_23,199,0.9013609886169434,7,0.9419354796409607,158,0.9504950642585754,7,0.5375994443893433,7,1.0,27,0.5675675868988037,4,0.10338681191205978,16,1.0,11,0.1764705926179886,16,0.34375,138,1.0,26,0.375,63,0.5826007723808289,69,1.0,0,0.6538461446762085,69,0.3928571343421936,27,0.6666666865348816,12,0.5,4,0.8534740209579468,79,0.43562203645706177,63,0.009575593285262585,194,0.07975087314844131,33,2.5628138246247545e-05,199,0.27601373195648193,194,0.003271698486059904,195,0.39984652400016785,28,0.17923465371131897,12,1.6380201578140259,23,0.024227432906627655,9
yolox_s_uaTrue_nc6_ep200_bs8_lr1e-04_wd5e-04_07-21_11,199,0.9115719795227051,13,0.9503105878829956,198,0.9306930899620056,16,0.6153653264045715,13,1.0,2,0.6216216087341309,13,0.3997521996498108,35,1.0,60,0.5,30,0.34375,105,1.0,67,0.375,21,0.5784032344818115,37,0.8999999761581421,5,0.7692307829856873,78,0.6041666269302368,54,0.800000011920929,114,0.75,10,0.8646317720413208,131,0.5913322567939758,21,0.011700903996825218,188,0.08192220330238342,15,0.00019800939480774105,128,0.3827289044857025,194,0.005599838215857744,188,0.49576684832572937,28,0.13920344412326813,27,1.6783630847930908,26,0.022629477083683014,16
yolox_m_uaTrue_transformsTrue_dn(data_553.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_20,199,0.9154027700424194,82,0.8877005577087402,193,0.9455445408821106,59,0.6207293272018433,82,1.0,0,0.6756756901741028,138,0.33926236629486084,179,1.0,6,0.47058823704719543,34,0.25,33,1.0,89,0.25,23,0.572259783744812,149,1.0,0,0.807692289352417,85,0.6166666746139526,146,1.0,22,1.0,134,0.6894976496696472,196,0.5647077560424805,71,0.015240157023072243,197,0.07660011947154999,106,0.0003666333213914186,197,0.413032591342926,199,0.008836469613015652,199,0.4634849429130554,138,0.14916390180587769,84,1.6712831258773804,192,0.021365387365221977,82
yolox_m_dndata_748.txt_bs8_lr1e-04_07-24_03,199,0.9283128380775452,7,0.9634146094322205,171,0.9801980257034302,11,0.591113805770874,16,1.0,0,0.6216216087341309,8,0.1979733109474182,28,1.0,4,0.3235294222831726,11,0.375,141,1.0,4,0.375,47,0.5677366256713867,22,0.800000011920929,0,0.7307692170143127,48,0.7253787517547607,78,1.0,75,0.875,9,0.7887742519378662,171,0.5356351137161255,11,0.008760456927120686,197,0.07811656594276428,34,2.0615569155779667e-05,199,0.2500227093696594,197,0.0028927787207067013,197,0.45980605483055115,20,0.20772528648376465,14,1.5938838720321655,34,0.02138851210474968,22
yolox_s_uaTrue_transformsTrue_dn(data_389.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_05,199,0.9045439958572388,35,0.914893627166748,198,0.9356435537338257,35,0.5301738977432251,96,1.0,6,0.5675675868988037,108,0.24117648601531982,124,1.0,112,0.2647058963775635,122,0.1666666716337204,23,1.0,12,0.25,23,0.563186526298523,114,1.0,1,0.7692307829856873,87,0.5416666865348816,185,1.0,3,0.75,39,0.6840802431106567,158,0.5044654011726379,96,0.01740753836929798,199,0.08327492326498032,199,0.00031219798256643116,197,0.4814422130584717,199,0.009641907177865505,199,0.4060242772102356,124,0.1415557861328125,147,1.7724779844284058,192,0.024748878553509712,30
